TEXTURE,X,Y,WIDTH,HEIGHT,TEXT,NAME,APPEARFLAG,DISAPPEARFLAG
npc01,817,1944,24,32,[_03D],NewEntityName, , 
npc02,1094,2375,24,32,[_024],NewEntityName, , 
npc04,1525,2733,24,32,[_02F],NewEntityName, , 
ninten,0,0,24,32,[_000],NewEntityName, , 
npc03,1806,3066,24,32,[_031],NewEntityName, , 
npc02,1810,3243,24,32,[_026],NewEntityName, , 
teddy,1088,3136,24,32,[_2C5],NewEntityName, , 
npc06,1221,3115,24,32,[_03A],NewEntityName, , 
npc04,1700,3375,24,32,[_05C],NewEntityName, , 
npc04,1303,3362,24,32,[_035],NewEntityName, , 
npc02,1116,3367,24,32,[_2C6],NewEntityName, , 
npc05,1043,3539,24,32,[_036],NewEntityName, , 
npc06,2082,3601,24,32,[_03f],NewEntityName, , 
teddy,1954,3579,24,32,[_03e],NewEntityName, , 
npc06,1046,3889,24,32,[_2c7],NewEntityName, , 
ninten,0,0,24,32,[_],NewEntityName, , 
npc01,861,3930,24,32,[_037],NewEntityName, , 
npc03,2120,4131,24,32,[_038],NewEntityName, , 
npc02,1978,4153,24,32,[_02D],NewEntityName, , 
npc02,2199,4402,24,32,[_02E],NewEntityName, , 
