DESCRIPTION,X,Y,WIDTH,HEIGHT,DESTINATION_MAP,DESTX,DESTY,TEXT,APPEARFLAG,DISAPPEARFLAG
zooDoor,1354,99,128,24,zoo,5104,3985,Imagine that this brings you to the zoo, , 
merrysvilleDoor,4370,2186,32,128,merrysville,395,1896,a, , 
doorHouse,368,170,13,8,house - myhome,618,322,text, , 
toCanaryVillage,536,1667,32,128,canary,1933,1261,text, , 
toGraveyard,2220,4481,128,32,graveyard,554,204,text, , 
toCaves,4039,392,17,16,caves,203,516,text, , 
east zoo,2566,545,21,88,zoo,6085,2079,text, , 
Description,1443,3145,13,8,podunk drugstore,474,265,Text, , 
Description,849,2360,9,9,podunk house 1,513,239,Text, , 
Description,1368,3371,16,9,podunk house 2,758,248,Text, , 
Description,1059,3344,64,16,podunk house 3,472,310,Text, , 
Description,258,3046,16,4,podunk,169,296,Text, , 
