DESCRIPTION,X,Y,WIDTH,HEIGHT,DESTINATION_MAP,DESTX,DESTY,TEXT,APPEARFLAG,DISAPPEARFLAG
toZoo,523.0,301.0,8,8,new zoo,1788,308,, , 
1fto2f,261.0,273.0,8,8,warden house,923,270,, , 
2fto3f,869.0,308.0,8,8,warden house,249,687,, , 
3fto4f,261.0,659.0,8,8,warden house,890,689,, , 
4fto3f,870.0,690.0,8,8,warden house,278,651,, , 
3fto2f,228.0,686.0,8,8,warden house,889,307,, , 
2fto1f,901.0,272.0,8,8,warden house,287,271,, , 
1ftoroom1,332.0,252.0,8,8,warden house,1693,298,, , 
1ftoroom2,429.0,251.0,8,8,warden house,2238,301,, , 
2ftoroom1,973.0,251.0,8,8,warden house,1692,683,, , 
2ftoroom2,1067.0,251.0,8,8,warden house,2237,686,, , 
3ftoroom1,331.0,636.0,8,8,warden house,1697,1034,, , 
3ftoroom2,428.0,637.0,8,8,warden house,2202,1011,, , 
4ftoStarmanJr,1004.0,668.0,8,8,warden house,1148,1072,, , 
room1exit,1715.0,303.0,8,8,warden house,329,259,, , 
room2exit,2259.0,303.0,8,8,warden house,426,262,, , 
room3exit,1716.0,686.0,8,8,warden house,425,263,, , 
room4exit,2257.0,683.0,8,8,warden house,1069,264,, , 
room5exit,1715.0,1033.0,8,8,warden house,329,647,, , 
room6exit,2227.0,1005.0,8,8,warden house,427,644,, , 
1fto2f,1170.0,1069.0,8,8,warden house,1001,675,, , 
