#
spawnTest
427,568,504,44
6,7,2,
50.0,20.0,30.0,
#
spawnTest
811,667,160,253
6,7,2,
50.0,20.0,30.0,
#
spawnTest
1517,489,292,232
6,7,2,
50.0,20.0,30.0,
#
spawnTest
2142,1013,192,268
6,7,2,
50.0,20.0,30.0,
#
spawnTest
1828,622,112,292
6,7,2,
50.0,20.0,30.0,
#
spawnTest
1219,1259,288,240
6,7,2,
50.0,20.0,30.0,
#
spawnTest
950,1405,240,249
6,7,2,
50.0,20.0,30.0,
#
spawnTest
1739,2183,480,64
6,7,2,
50.0,20.0,30.0,
#
spawnTest
1891,2341,292,376
6,7,2,
50.0,20.0,30.0,
#
spawnTest
2354,1458,192,296
6,7,2,
50.0,20.0,30.0,
