DESCRIPTION,X,Y,WIDTH,HEIGHT,DESTINATION_MAP,DESTX,DESTY,TEXT,APPEARFLAG,DISAPPEARFLAG
toZoo,523,301,8,8,zoo,4627,1989,, , 
1fto2f,261,273,8,8,warden house,923,270,, , 
2fto3f,869,308,8,8,warden house,249,687,, , 
3fto4f,261,659,8,8,warden house,890,689,, , 
4fto3f,870,690,8,8,warden house,278,651,, , 
3fto2f,228,686,8,8,warden house,889,307,, , 
2fto1f,901,272,8,8,warden house,287,271,, , 
1ftoroom1,332,252,8,8,warden house,1693,298,, , 
1ftoroom2,429,251,8,8,warden house,2238,301,, , 
2ftoroom1,973,251,8,8,warden house,1692,683,, , 
2ftoroom2,1067,251,8,8,warden house,2237,686,, , 
3ftoroom1,331,636,8,8,warden house,1697,1034,, , 
3ftoroom2,428,637,8,8,warden house,2202,1011,, , 
4ftoStarmanJr,1004,668,8,8,warden house,1148,1072,, , 
room1exit,1715,303,8,8,warden house,329,259,, , 
room2exit,2259,303,8,8,warden house,426,262,, , 
room3exit,1716,686,8,8,warden house,425,263,, , 
room4exit,2257,683,8,8,warden house,1069,264,, , 
room5exit,1715,1033,8,8,warden house,329,647,, , 
room6exit,2227,1005,8,8,warden house,427,644,, , 
1fto2f,1170,1069,8,8,warden house,1001,675,, , 
