index,x,y,width,height
8,1401.0,4475.0,128,128
8,1244.0,5137.0,128,128
8,1439.0,5015.0,128,128
8,1336.0,4877.0,128,128
8,1455.0,5281.0,128,128
8,1522.0,4716.0,128,128
8,1368.0,5085.0,128,128
8,1368.0,5085.0,128,128
8,1455.0,5281.0,128,128
8,2361.0,3428.0,128,128
8,2333.0,3129.0,128,128
8,1624.0,4127.0,128,128
9,1296.0,4137.0,128,128
9,1113.0,4512.0,128,128
9,1192.0,4664.0,128,128
9,1027.0,4992.0,128,80
9,894.0,5166.0,88,128
9,1082.0,5323.0,128,72
9,1102.0,5615.0,128,128
9,1470.0,3975.0,128,128
9,1714.0,3451.0,128,128
9,1368.0,5085.0,128,128
9,1704.0,3499.0,128,128
9,1714.0,3451.0,128,128
9,1714.0,3451.0,128,128
10,1857.0,2604.0,128,128
10,2171.0,2341.0,128,128
10,2809.0,2228.0,160,128
10,2403.0,1981.0,128,128
10,1714.0,3451.0,128,128
10,760.0,2915.0,128,128
10,2613.0,2086.0,128,128
10,2602.0,2839.0,128,128
10,2781.0,2783.0,128,128
10,3036.0,2393.0,128,128
