#
spawnTest
427,568,504,44
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
811,667,160,253
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
1517,489,292,232
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
2142,1013,192,268
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
1828,622,112,292
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
1219,1259,288,240
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
950,1405,240,249
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
1739,2183,480,64
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
1891,2341,292,376
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
#
spawnTest
2354,1458,192,296
Stray Dog,Wally,Crow,
50.0,20.0,30.0,
