TEXTURE,X,Y,WIDTH,HEIGHT,TEXT,NAME,APPEARFLAG,DISAPPEARFLAG
npc01,817.0,1944.0,24,32,[_03D],NewEntityName, , 
npc02,1094.0,2375.0,24,32,[_024],NewEntityName, , 
npc04,1525.0,2733.0,24,32,[_02F],NewEntityName, , 
ninten,0.0,0.0,24,32,[_000],NewEntityName, , 
npc03,1806.0,3066.0,24,32,[_031],NewEntityName, , 
npc02,1810.0,3243.0,24,32,[_026],NewEntityName, , 
teddy,1088.0,3136.0,24,32,[_2C5],NewEntityName, , 
npc06,1221.0,3115.0,24,32,[_03A],NewEntityName, , 
npc04,1700.0,3375.0,24,32,[_05C],NewEntityName, , 
npc04,1303.0,3362.0,24,32,[_035],NewEntityName, , 
npc02,1116.0,3367.0,24,32,[_2C6],NewEntityName, , 
npc05,1043.0,3539.0,24,32,[_036],NewEntityName, , 
npc06,2082.0,3601.0,24,32,[_03f],NewEntityName, , 
teddy,1954.0,3579.0,24,32,[_03e],NewEntityName, , 
npc06,1046.0,3889.0,24,32,[_2c7],NewEntityName, , 
ninten,0.0,0.0,24,32,[_],NewEntityName, , 
npc01,861.0,3930.0,24,32,[_037],NewEntityName, , 
npc03,2226.0,3867.0,24,32,[_038],NewEntityName, , 
npc02,2068.0,3922.0,24,32,[_02D],NewEntityName, , 
npc02,2199.0,4402.0,24,32,[_02E],NewEntityName, , 
pippi,368.0,230.0,24,32,[FLAGISSET_killedRatKing][_88C][ELSE][_88A][_88B][_88C][ENDIF],Rat Ruler, , 
ninten,803.0,3356.0,24,32,New Entity,NewEntityName, , 
ninten,2120.0,3358.0,24,32,New Entity,NewEntityName, , 
police,3013.0,2379.0,24,32,[FLAGISSET_starmanJrDead][_0FD][SETFLAG_martialLawCleared][ELSE][_0F5][ENDIF],CopBlock, , martialLawCleared
police,2997.0,2403.0,24,32,[FLAGISSET_starmanJrDead][_0FD][SETFLAG_martialLawCleared][ELSE][_0F5][ENDIF],CopBlock, ,  martialLawCleared
